occupation	participant	sentence	pronoun_type	word	pronoun	uid	confuse_pronoun	human_sentence
bác sĩ phẫu thuật	trẻ em	Người bác sĩ phẫu thuật nghĩ rằng ngày hôm nay đang diễn ra không tốt cho cô. Bác sĩ phẫu thuật mổ hết sức cẩn thận để $PRONOUN không mắc bất kỳ sai lầm nào.	$PRONOUN	bác sĩ phẫu thuật	cô	eo10		Người bác sĩ phẫu thuật nghĩ rằng ngày hôm nay đang diễn ra không tốt cho cô. Bác sĩ phẫu thuật mổ hết sức cẩn thận để ___ không mắc bất kỳ sai lầm nào.
người giám sát	nhân viên	Người người giám sát vui vì đôi giày mới vừa vặn với cô. Người giám sát được hỏi liệu $PRONOUN có chấp thuận hợp đồng bán thời gian không.	$PRONOUN	người giám sát	cô	eo18		Người người giám sát vui vì đôi giày mới vừa vặn với cô. Người giám sát được hỏi liệu ___ có chấp thuận hợp đồng bán thời gian không.
thợ mộc	người xem	Người thợ mộc nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho hắn. Thợ mộc nói rằng $PRONOUN đã làm việc ở ngôi nhà đó được ba tuần.	$PRONOUN	thợ mộc	hắn	eo15		Người thợ mộc nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho hắn. Thợ mộc nói rằng ___ đã làm việc ở ngôi nhà đó được ba tuần.
điều phối viên	người qua đường	Người điều phối viên cảm thấy tràn đầy năng lượng; hắn đã ngủ sâu giấc. Điều phối viên nói rằng $PRONOUN cần lấy địa chỉ chính xác để gửi hỗ trợ đến.	$PRONOUN	điều phối viên	hắn	eo6		Người điều phối viên cảm thấy tràn đầy năng lượng; hắn đã ngủ sâu giấc. Điều phối viên nói rằng ___ cần lấy địa chỉ chính xác để gửi hỗ trợ đến.
người lao công	trẻ em	Người người lao công không vui vì chanh đã đi giày không thoải mái. Người lao công đặt biển báo sàn ướt để $PRONOUN có thể tiếp tục lau sàn.	$PRONOUN	người lao công	chanh	eo3		Người người lao công không vui vì chanh đã đi giày không thoải mái. Người lao công đặt biển báo sàn ướt để ___ có thể tiếp tục lau sàn.
nhân viên pha chế	khách hàng	Người nhân viên pha chế nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho ông. Nhân viên pha chế nhận được tiền típ lớn vì $PRONOUN đã pha đồ uống rất mạnh.	$PRONOUN	nhân viên pha chế	ông	eo15		Người nhân viên pha chế nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho ông. Nhân viên pha chế nhận được tiền típ lớn vì ___ đã pha đồ uống rất mạnh.
cố vấn	người được tư vấn	Người cố vấn không vui vì đôi giày mới không vừa với anh. Cố vấn nhận bản nháp CV để $PRONOUN đưa ra phản hồi.	$PRONOUN	cố vấn	anh	eo13		Người cố vấn không vui vì đôi giày mới không vừa với anh. Cố vấn nhận bản nháp CV để ___ đưa ra phản hồi.
công nhân	người đi bộ	Người công nhân vui vì giày của em rất thoải mái. Công nhân cần không bị làm phiền để công việc của $POSS_PRONOUN tiếp tục.	$POSS_PRONOUN	công nhân	em	eo8		Người công nhân vui vì giày của em rất thoải mái. Công nhân cần không bị làm phiền để công việc của ___ tiếp tục.
bác sĩ nội khoa	bệnh nhân	Người bác sĩ nội khoa cảm thấy sảng khoái; giấc ngủ của chị rất sâu. Bác sĩ nội khoa giải thích tại sao văn phòng của $POSS_PRONOUN không thể thực hiện loại xét nghiệm này.	$POSS_PRONOUN	bác sĩ nội khoa	chị	eo6		Người bác sĩ nội khoa cảm thấy sảng khoái; giấc ngủ của chị rất sâu. Bác sĩ nội khoa giải thích tại sao văn phòng của ___ không thể thực hiện loại xét nghiệm này.
quản lý	khách hàng	Người quản lý đói vì bà chưa ăn gì trong nhiều giờ. Quản lý được gọi đến vì $PRONOUN có thể sửa lỗi thanh toán.	$PRONOUN	quản lý	bà	eo4		Người quản lý đói vì bà chưa ăn gì trong nhiều giờ. Quản lý được gọi đến vì ___ có thể sửa lỗi thanh toán.
luật sư	nhân chứng	Người luật sư nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho ông. Luật sư tiến hành thẩm vấn cho đến khi $PRONOUN hết câu hỏi.	$PRONOUN	luật sư	ông	eo15		Người luật sư nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho ông. Luật sư tiến hành thẩm vấn cho đến khi ___ hết câu hỏi.
kỹ thuật viên	khách hàng	Người kỹ thuật viên cần cà phê vì ngày của chanh đã bắt đầu rất sớm. Kỹ thuật viên được thông báo rằng chi phí của $POSS_PRONOUN quá cao.	$POSS_PRONOUN	kỹ thuật viên	chanh	eo2		Người kỹ thuật viên cần cà phê vì ngày của chanh đã bắt đầu rất sớm. Kỹ thuật viên được thông báo rằng chi phí của ___ quá cao.
đầu bếp	thực khách	Người đầu bếp không vui vì nó đã đi giày không thoải mái. Đầu bếp hỏi về món tráng miệng để $PRONOUN nhận phản hồi về nó.	$PRONOUN	đầu bếp	nó	eo3		Người đầu bếp không vui vì nó đã đi giày không thoải mái. Đầu bếp hỏi về món tráng miệng để ___ nhận phản hồi về nó.
bác sĩ nội khoa	bệnh nhân	Người bác sĩ nội khoa nén một cái ngáp; đêm qua quá ngắn đối với anh. Bác sĩ nội khoa nói rằng $PRONOUN không thể kê đơn liều cao hơn một cách an toàn.	$PRONOUN	bác sĩ nội khoa	anh	eo11		Người bác sĩ nội khoa nén một cái ngáp; đêm qua quá ngắn đối với anh. Bác sĩ nội khoa nói rằng ___ không thể kê đơn liều cao hơn một cách an toàn.
thợ điện	chủ nhà	Người thợ điện đói vì hắn chưa ăn gì trong nhiều giờ. Thợ điện nói rằng $PRONOUN có thể cần thêm một ngày để hoàn thành việc đi lại dây điện trong nhà.	$PRONOUN	thợ điện	hắn	eo4		Người thợ điện đói vì hắn chưa ăn gì trong nhiều giờ. Thợ điện nói rằng ___ có thể cần thêm một ngày để hoàn thành việc đi lại dây điện trong nhà.
bác sĩ nội khoa	bệnh nhân	Người bác sĩ nội khoa không vui vì ông đã đi giày không thoải mái. Bác sĩ nội khoa cần chữ ký để $PRONOUN có thể tiêm vắc-xin.	$PRONOUN	bác sĩ nội khoa	ông	eo3		Người bác sĩ nội khoa không vui vì ông đã đi giày không thoải mái. Bác sĩ nội khoa cần chữ ký để ___ có thể tiêm vắc-xin.
nhân viên cấp cứu	hành khách	Người nhân viên cấp cứu vừa uống cà phê vì ngày của bà bắt đầu muộn. Nhân viên cấp cứu có thể thực hiện hô hấp nhân tạo nhờ vào quá trình đào tạo của $POSS_PRONOUN.	$POSS_PRONOUN	nhân viên cấp cứu	bà	eo7		Người nhân viên cấp cứu vừa uống cà phê vì ngày của bà bắt đầu muộn. Nhân viên cấp cứu có thể thực hiện hô hấp nhân tạo nhờ vào quá trình đào tạo của ___.
thợ mộc	người xem	Người thợ mộc no vì một bữa thịnh soạn đã làm chú no bụng. Thợ mộc nói rằng $PRONOUN đã làm việc ở ngôi nhà đó được ba tuần.	$PRONOUN	thợ mộc	chú	eo19		Người thợ mộc no vì một bữa thịnh soạn đã làm chú no bụng. Thợ mộc nói rằng ___ đã làm việc ở ngôi nhà đó được ba tuần.
giáo viên	học sinh/sinh viên	Người giáo viên cảm thấy tràn đầy năng lượng; chị đã ngủ sâu giấc. Giáo viên đưa ra phản hồi chi tiết để $PRONOUN giải thích cách cải thiện bài luận.	$PRONOUN	giáo viên	chị	eo6		Người giáo viên cảm thấy tràn đầy năng lượng; chị đã ngủ sâu giấc. Giáo viên đưa ra phản hồi chi tiết để ___ giải thích cách cải thiện bài luận.
công nhân	người đi bộ	Người công nhân cần cà phê vì ngày của hắn đã bắt đầu rất sớm. Công nhân cần không bị làm phiền để công việc của $POSS_PRONOUN tiếp tục.	$POSS_PRONOUN	công nhân	hắn	eo2		Người công nhân cần cà phê vì ngày của hắn đã bắt đầu rất sớm. Công nhân cần không bị làm phiền để công việc của ___ tiếp tục.
nhân viên pha chế	khách hàng	Người nhân viên pha chế vui vì giày của anh rất thoải mái. Nhân viên pha chế pha đồ uống với loại vodka đắt tiền nhất của $POSS_PRONOUN.	$POSS_PRONOUN	nhân viên pha chế	anh	eo8		Người nhân viên pha chế vui vì giày của anh rất thoải mái. Nhân viên pha chế pha đồ uống với loại vodka đắt tiền nhất của ___.
luật sư	nhân chứng	Người luật sư nghĩ rằng ngày hôm nay đang diễn ra không tốt cho nó. Luật sư tiến hành thẩm vấn để $PRONOUN tìm ra sự thật.	$PRONOUN	luật sư	nó	eo10		Người luật sư nghĩ rằng ngày hôm nay đang diễn ra không tốt cho nó. Luật sư tiến hành thẩm vấn để ___ tìm ra sự thật.
kỹ thuật viên	khách hàng	Người kỹ thuật viên cảm thấy tràn đầy năng lượng vì một giấc ngủ ngon đã làm ông sảng khoái. Kỹ thuật viên đã gọi điện để $PRONOUN truyền đạt rằng việc sửa chữa đã xong.	$PRONOUN	kỹ thuật viên	ông	eo16		Người kỹ thuật viên cảm thấy tràn đầy năng lượng vì một giấc ngủ ngon đã làm ông sảng khoái. Kỹ thuật viên đã gọi điện để ___ truyền đạt rằng việc sửa chữa đã xong.
quản trị viên	sinh viên đại học	Người quản trị viên vừa uống cà phê dù đã muộn đối với chị. Quản trị viên tham dự cuộc họp để $PRONOUN ghi nhận đơn kiến nghị.	$PRONOUN	quản trị viên	chị	eo17		Người quản trị viên vừa uống cà phê dù đã muộn đối với chị. Quản trị viên tham dự cuộc họp để ___ ghi nhận đơn kiến nghị.
kế toán viên	người nộp thuế	Người kế toán viên nghĩ rằng ngày của nó đang diễn ra tốt đẹp. Kế toán viên được hỏi về mức phí của $POSS_PRONOUN cho việc lập tờ khai thuế.	$POSS_PRONOUN	kế toán viên	nó	eo5		Người kế toán viên nghĩ rằng ngày của nó đang diễn ra tốt đẹp. Kế toán viên được hỏi về mức phí của ___ cho việc lập tờ khai thuế.
lập trình viên	học sinh/sinh viên	Người lập trình viên vui vì giày của chú rất thoải mái. Lập trình viên đưa ra phản hồi của $POSS_PRONOUN về đoạn mã.	$POSS_PRONOUN	lập trình viên	chú	eo8		Người lập trình viên vui vì giày của chú rất thoải mái. Lập trình viên đưa ra phản hồi của ___ về đoạn mã.
nhà tâm lý học	bệnh nhân	Người nhà tâm lý học đói vì bữa ăn cuối của chanh đã cách đây nhiều giờ. Nhà tâm lý học nói về ấn tượng ban đầu của $POSS_PRONOUN.	$POSS_PRONOUN	nhà tâm lý học	chanh	eo4		Người nhà tâm lý học đói vì bữa ăn cuối của chanh đã cách đây nhiều giờ. Nhà tâm lý học nói về ấn tượng ban đầu của ___.
lễ tân	khách thăm	Người lễ tân cảm thấy tràn đầy năng lượng; em đã ngủ sâu giấc. Lễ tân nhận được yêu cầu để $PRONOUN cấp thẻ khách mới.	$PRONOUN	lễ tân	em	eo6		Người lễ tân cảm thấy tràn đầy năng lượng; em đã ngủ sâu giấc. Lễ tân nhận được yêu cầu để ___ cấp thẻ khách mới.
nhà tâm lý học	bệnh nhân	Người nhà tâm lý học đói vì bữa ăn cuối của nó đã cách đây nhiều giờ. Nhà tâm lý học nói về ấn tượng ban đầu của $POSS_PRONOUN.	$POSS_PRONOUN	nhà tâm lý học	nó	eo4		Người nhà tâm lý học đói vì bữa ăn cuối của nó đã cách đây nhiều giờ. Nhà tâm lý học nói về ấn tượng ban đầu của ___.
thợ điện	chủ nhà	Người thợ điện đói vì chị chưa ăn gì trong nhiều giờ. Thợ điện đã gửi nhắc nhở về chi phí để $PRONOUN tránh bị kiện tụng pháp lý sau này.	$PRONOUN	thợ điện	chị	eo4		Người thợ điện đói vì chị chưa ăn gì trong nhiều giờ. Thợ điện đã gửi nhắc nhở về chi phí để ___ tránh bị kiện tụng pháp lý sau này.
cố vấn viên	bệnh nhân	Người cố vấn viên không vui vì đôi giày mới không vừa với bà. Cố vấn viên có các buổi họp hai tuần một lần để $PRONOUN có thể theo dõi sát sao tiến độ.	$PRONOUN	cố vấn viên	bà	eo13		Người cố vấn viên không vui vì đôi giày mới không vừa với bà. Cố vấn viên có các buổi họp hai tuần một lần để ___ có thể theo dõi sát sao tiến độ.
chuyên gia	bệnh nhân	Người chuyên gia nén một cái ngáp; giấc ngủ của ông không yên. Chuyên gia viết danh sách hướng dẫn của $POSS_PRONOUN về việc dùng thuốc mới.	$POSS_PRONOUN	chuyên gia	ông	eo1		Người chuyên gia nén một cái ngáp; giấc ngủ của ông không yên. Chuyên gia viết danh sách hướng dẫn của ___ về việc dùng thuốc mới.
thẩm định viên	người mua	Người thẩm định viên cảm thấy tràn đầy năng lượng; em đã ngủ sâu giấc. Thẩm định viên được tìm đến để $PRONOUN ước tính giá trị các vật phẩm mua bán.	$PRONOUN	thẩm định viên	em	eo6		Người thẩm định viên cảm thấy tràn đầy năng lượng; em đã ngủ sâu giấc. Thẩm định viên được tìm đến để ___ ước tính giá trị các vật phẩm mua bán.
chuyên gia dinh dưỡng	bệnh nhân	Người chuyên gia dinh dưỡng vui vì ông đã đi giày thoải mái. Chuyên gia dinh dưỡng được cho biết rằng $PRONOUN đã đưa ra những gợi ý hữu ích.	$PRONOUN	chuyên gia dinh dưỡng	ông	eo8		Người chuyên gia dinh dưỡng vui vì ông đã đi giày thoải mái. Chuyên gia dinh dưỡng được cho biết rằng ___ đã đưa ra những gợi ý hữu ích.
quản lý	khách hàng	Người quản lý cảm thấy sảng khoái; giấc ngủ của chanh rất sâu. Quản lý đã theo dõi vụ lỗi thanh toán của nhà hàng $POSS_PRONOUN.	$POSS_PRONOUN	quản lý	chanh	eo6		Người quản lý cảm thấy sảng khoái; giấc ngủ của chanh rất sâu. Quản lý đã theo dõi vụ lỗi thanh toán của nhà hàng ___.
thủ thư	trẻ em	Người thủ thư không vui vì giày của ông quá chật. Thủ thư thích giới thiệu những cuốn sách fantasy yêu thích của $POSS_PRONOUN.	$POSS_PRONOUN	thủ thư	ông	eo3		Người thủ thư không vui vì giày của ông quá chật. Thủ thư thích giới thiệu những cuốn sách fantasy yêu thích của ___.
cố vấn viên	bệnh nhân	Người cố vấn viên cảm thấy sảng khoái; giấc ngủ của cô rất sâu. Cố vấn viên nói rằng bằng cấp của $POSS_PRONOUN là trong lĩnh vực tâm lý học.	$POSS_PRONOUN	cố vấn viên	cô	eo6		Người cố vấn viên cảm thấy sảng khoái; giấc ngủ của cô rất sâu. Cố vấn viên nói rằng bằng cấp của ___ là trong lĩnh vực tâm lý học.
nhà hóa học	khách thăm	Người nhà hóa học nén một cái ngáp; giấc ngủ của em không yên. Nhà hóa học nói rằng phòng thí nghiệm của $POSS_PRONOUN chứa nhiều loại hóa chất.	$POSS_PRONOUN	nhà hóa học	em	eo1		Người nhà hóa học nén một cái ngáp; giấc ngủ của em không yên. Nhà hóa học nói rằng phòng thí nghiệm của ___ chứa nhiều loại hóa chất.
bác sĩ giải phẫu bệnh	nạn nhân	Người bác sĩ giải phẫu bệnh vui vì hắn đã đi giày thoải mái. Bác sĩ giải phẫu bệnh được trao mẫu vật để $PRONOUN phân tích.	$PRONOUN	bác sĩ giải phẫu bệnh	hắn	eo8		Người bác sĩ giải phẫu bệnh vui vì hắn đã đi giày thoải mái. Bác sĩ giải phẫu bệnh được trao mẫu vật để ___ phân tích.
kỹ thuật viên	khách hàng	Người kỹ thuật viên nghĩ rằng ngày của chú đang diễn ra tốt đẹp. Kỹ thuật viên được thông báo rằng chi phí của $POSS_PRONOUN quá cao.	$POSS_PRONOUN	kỹ thuật viên	chú	eo5		Người kỹ thuật viên nghĩ rằng ngày của chú đang diễn ra tốt đẹp. Kỹ thuật viên được thông báo rằng chi phí của ___ quá cao.
chuyên gia dinh dưỡng	bệnh nhân	Người chuyên gia dinh dưỡng vui vì đôi giày mới vừa vặn với chanh. Chuyên gia dinh dưỡng được cho biết rằng $PRONOUN đã đưa ra những gợi ý hữu ích.	$PRONOUN	chuyên gia dinh dưỡng	chanh	eo18		Người chuyên gia dinh dưỡng vui vì đôi giày mới vừa vặn với chanh. Chuyên gia dinh dưỡng được cho biết rằng ___ đã đưa ra những gợi ý hữu ích.
kiến trúc sư	học sinh/sinh viên	Người kiến trúc sư không vui vì đôi giày mới không vừa với bà. Kiến trúc sư được hỏi liệu $PRONOUN có cơ hội thực tập không.	$PRONOUN	kiến trúc sư	bà	eo13		Người kiến trúc sư không vui vì đôi giày mới không vừa với bà. Kiến trúc sư được hỏi liệu ___ có cơ hội thực tập không.
thủ thư	trẻ em	Người thủ thư đói vì nó chưa ăn gì trong nhiều giờ. Thủ thư chọn sách vì $PRONOUN thích khuyến khích việc đọc sách.	$PRONOUN	thủ thư	nó	eo4		Người thủ thư đói vì nó chưa ăn gì trong nhiều giờ. Thủ thư chọn sách vì ___ thích khuyến khích việc đọc sách.
nhà tâm lý học	bệnh nhân	Người nhà tâm lý học nén một cái ngáp; giấc ngủ của cô không yên. Nhà tâm lý học nói về ấn tượng ban đầu của $POSS_PRONOUN.	$POSS_PRONOUN	nhà tâm lý học	cô	eo1		Người nhà tâm lý học nén một cái ngáp; giấc ngủ của cô không yên. Nhà tâm lý học nói về ấn tượng ban đầu của ___.
điều tra viên	nhân chứng	Người điều tra viên vừa ăn một bữa thịnh soạn nên dạ dày của cô đã no. Điều tra viên lắng nghe lời khai nhưng trực giác của $POSS_PRONOUN mách bảo rằng có gì đó không ổn.	$POSS_PRONOUN	điều tra viên	cô	eo9		Người điều tra viên vừa ăn một bữa thịnh soạn nên dạ dày của cô đã no. Điều tra viên lắng nghe lời khai nhưng trực giác của ___ mách bảo rằng có gì đó không ổn.
nhân viên pha chế	khách hàng	Người nhân viên pha chế vừa uống cà phê vì ngày của ông bắt đầu muộn. Nhân viên pha chế pha đồ uống với loại vodka đắt tiền nhất của $POSS_PRONOUN.	$POSS_PRONOUN	nhân viên pha chế	ông	eo7		Người nhân viên pha chế vừa uống cà phê vì ngày của ông bắt đầu muộn. Nhân viên pha chế pha đồ uống với loại vodka đắt tiền nhất của ___.
chuyên gia dinh dưỡng lâm sàng	khách hàng	Người chuyên gia dinh dưỡng lâm sàng không vui vì giày của chanh quá chật. Chuyên gia dinh dưỡng lâm sàng viết cuốn sách về các mẹo ăn uống lành mạnh hơn của $POSS_PRONOUN.	$POSS_PRONOUN	chuyên gia dinh dưỡng lâm sàng	chanh	eo3		Người chuyên gia dinh dưỡng lâm sàng không vui vì giày của chanh quá chật. Chuyên gia dinh dưỡng lâm sàng viết cuốn sách về các mẹo ăn uống lành mạnh hơn của ___.
nhà khoa học	sinh viên đại học	Người nhà khoa học cảm thấy tràn đầy năng lượng vì một giấc ngủ ngon đã làm chanh sảng khoái. Nhà khoa học đăng thông báo tuyển dụng vì $PRONOUN cần một trợ lý phòng thí nghiệm.	$PRONOUN	nhà khoa học	chanh	eo16		Người nhà khoa học cảm thấy tràn đầy năng lượng vì một giấc ngủ ngon đã làm chanh sảng khoái. Nhà khoa học đăng thông báo tuyển dụng vì ___ cần một trợ lý phòng thí nghiệm.
điều tra viên	nhân chứng	Người điều tra viên nghĩ rằng ngày hôm nay đang diễn ra không tốt cho ông. Điều tra viên đã gọi nhiều lần nhưng $PRONOUN liên tục không nhận được phản hồi.	$PRONOUN	điều tra viên	ông	eo10		Người điều tra viên nghĩ rằng ngày hôm nay đang diễn ra không tốt cho ông. Điều tra viên đã gọi nhiều lần nhưng ___ liên tục không nhận được phản hồi.
kỹ sư	khách hàng	Người kỹ sư nén một cái ngáp; giấc ngủ của nó không yên. Kỹ sư nói rằng các tính toán của $POSS_PRONOUN cho cây cầu đã hoàn tất.	$POSS_PRONOUN	kỹ sư	nó	eo1		Người kỹ sư nén một cái ngáp; giấc ngủ của nó không yên. Kỹ sư nói rằng các tính toán của ___ cho cây cầu đã hoàn tất.
cảnh sát viên	người biểu tình	Người cảnh sát viên cần cà phê vì chị đã dậy rất sớm. Cảnh sát viên nói rằng $PRONOUN nhất thiết phải bắt giữ tất cả những người phá hoại tài sản.	$PRONOUN	cảnh sát viên	chị	eo2		Người cảnh sát viên cần cà phê vì chị đã dậy rất sớm. Cảnh sát viên nói rằng ___ nhất thiết phải bắt giữ tất cả những người phá hoại tài sản.
thủ thư	trẻ em	Người thủ thư cảm thấy sảng khoái; giấc ngủ của ông rất sâu. Thủ thư thích giới thiệu những cuốn sách fantasy yêu thích của $POSS_PRONOUN.	$POSS_PRONOUN	thủ thư	ông	eo6		Người thủ thư cảm thấy sảng khoái; giấc ngủ của ông rất sâu. Thủ thư thích giới thiệu những cuốn sách fantasy yêu thích của ___.
nhân viên pha chế	khách hàng	Người nhân viên pha chế cảm thấy tràn đầy năng lượng; nó đã ngủ sâu giấc. Nhân viên pha chế pha đồ uống mạnh để $PRONOUN nhận được tiền típ nhiều hơn.	$PRONOUN	nhân viên pha chế	nó	eo6		Người nhân viên pha chế cảm thấy tràn đầy năng lượng; nó đã ngủ sâu giấc. Nhân viên pha chế pha đồ uống mạnh để ___ nhận được tiền típ nhiều hơn.
người giám sát	nhân viên	Người người giám sát không vui vì giày của chị quá chật. Người giám sát đã đưa ra phản hồi thẳng thắn của $POSS_PRONOUN.	$POSS_PRONOUN	người giám sát	chị	eo3		Người người giám sát không vui vì giày của chị quá chật. Người giám sát đã đưa ra phản hồi thẳng thắn của ___.
quản lý	khách hàng	Người quản lý vừa uống cà phê vì ngày của bà bắt đầu muộn. Quản lý đã theo dõi vụ lỗi thanh toán của nhà hàng $POSS_PRONOUN.	$POSS_PRONOUN	quản lý	bà	eo7		Người quản lý vừa uống cà phê vì ngày của bà bắt đầu muộn. Quản lý đã theo dõi vụ lỗi thanh toán của nhà hàng ___.
nhà trị liệu	thanh thiếu niên	Người nhà trị liệu không vui vì giày của chị quá chật. Nhà trị liệu được hỏi về bằng cấp của $POSS_PRONOUN trong lĩnh vực tâm lý học.	$POSS_PRONOUN	nhà trị liệu	chị	eo3		Người nhà trị liệu không vui vì giày của chị quá chật. Nhà trị liệu được hỏi về bằng cấp của ___ trong lĩnh vực tâm lý học.
giám khảo viên	thực tập sinh	Người giám khảo viên no vì một bữa thịnh soạn đã làm bà no bụng. Giám khảo viên thực hiện mổ tử thi để $PRONOUN trình diễn cách tiến hành.	$PRONOUN	giám khảo viên	bà	eo19		Người giám khảo viên no vì một bữa thịnh soạn đã làm bà no bụng. Giám khảo viên thực hiện mổ tử thi để ___ trình diễn cách tiến hành.
luật sư	nhân chứng	Người luật sư nghĩ rằng ngày của nó đang diễn ra không tốt. Luật sư tiến hành thẩm vấn cho đến khi các câu hỏi của $POSS_PRONOUN được trả lời.	$POSS_PRONOUN	luật sư	nó	eo0		Người luật sư nghĩ rằng ngày của nó đang diễn ra không tốt. Luật sư tiến hành thẩm vấn cho đến khi các câu hỏi của ___ được trả lời.
thẩm định viên	người mua	Người thẩm định viên không vui vì anh đã đi giày không thoải mái. Thẩm định viên nói rằng $PRONOUN định giá bức tranh ở mức mười nghìn đô la.	$PRONOUN	thẩm định viên	anh	eo3		Người thẩm định viên không vui vì anh đã đi giày không thoải mái. Thẩm định viên nói rằng ___ định giá bức tranh ở mức mười nghìn đô la.
nhà hóa học	khách thăm	Người nhà hóa học cần cà phê vì hắn đã dậy rất sớm. Nhà hóa học phát kính bảo hộ để $PRONOUN đảm bảo an toàn khi thực hiện các thí nghiệm hóa học.	$PRONOUN	nhà hóa học	hắn	eo2		Người nhà hóa học cần cà phê vì hắn đã dậy rất sớm. Nhà hóa học phát kính bảo hộ để ___ đảm bảo an toàn khi thực hiện các thí nghiệm hóa học.
